race_id,fp1_long_run,fp1_weather,fp2_long_run,fp2_weather,fp3_long_run,fp3_weather,qualifying,qualifying_weather,driver_perf,team_perf,track_type,race_weather,race_pace,finishing_position
20-01,68.184153,rainy,68.392,rainy,,dry,1,dry,0.0,0.0,Austrian Grand Prix,dry,77.281985,1
20-01,68.76075,rainy,69.048777,rainy,68.471,dry,7,dry,0.0,0.0,Austrian Grand Prix,dry,77.359772,2
20-01,68.93466599999999,rainy,,rainy,,dry,4,dry,0.0,0.0,Austrian Grand Prix,dry,77.422787,3
20-01,67.792692,rainy,67.7604,rainy,65.672,dry,2,dry,0.0,0.8604651162790697,Austrian Grand Prix,dry,77.407696,4
20-01,68.2104,rainy,68.467,rainy,,dry,8,dry,0.0,0.6046511627906976,Austrian Grand Prix,dry,77.453196,5
20-01,68.863888,rainy,68.714538,rainy,67.521,dry,6,dry,0.0,0.0,Austrian Grand Prix,dry,77.490863,6
20-01,68.059,rainy,69.649958,rainy,67.9795,dry,12,dry,0.0,0.0,Austrian Grand Prix,dry,77.536863,7
20-01,68.407,rainy,69.059363,rainy,,dry,14,dry,0.0,0.0,Austrian Grand Prix,dry,77.500272,8
20-01,68.26,rainy,69.202846,rainy,,dry,18,dry,0.0,0.0,Austrian Grand Prix,dry,77.558393,9
20-01,69.0462,rainy,68.3488,rainy,68.259,dry,11,dry,0.0,0.4418604651162791,Austrian Grand Prix,dry,77.642878,10
20-01,69.238666,rainy,70.654291,rainy,,dry,20,dry,0.0,0.0,Austrian Grand Prix,dry,77.664818,11
20-01,69.552,rainy,68.79725,rainy,68.331666,dry,13,dry,0.0,0.13953488372093023,Austrian Grand Prix,dry,77.962406,12
20-01,67.8818,rainy,69.0857,rainy,67.150666,dry,5,dry,0.0,0.0,Austrian Grand Prix,dry,78.243274,13
20-01,68.720666,rainy,69.689812,rainy,,dry,19,dry,0.0,0.046511627906976744,Austrian Grand Prix,dry,75.561744,14
20-01,68.771857,rainy,69.523272,rainy,68.56675,dry,17,dry,0.0,0.0,Austrian Grand Prix,dry,74.346325,15
20-01,,rainy,69.104642,rainy,67.973,dry,15,dry,0.0,0.0,Austrian Grand Prix,dry,75.827113,16
20-01,68.932,rainy,69.644,rainy,,dry,16,dry,0.0,0.0,Austrian Grand Prix,dry,71.859526,17
20-01,69.0419,rainy,68.8518,rainy,,dry,9,dry,0.0,0.18604651162790697,Austrian Grand Prix,dry,72.347533,18
20-01,67.386,rainy,68.851,rainy,,dry,10,dry,0.0,0.09302325581395349,Austrian Grand Prix,dry,73.8795,19
20-01,67.8312,rainy,68.903687,rainy,,dry,3,dry,0.0,0.0,Austrian Grand Prix,dry,76.8227,20
20-02,68.565,dry,,dry,,,1,rainy,0.48,0.8604651162790697,Styrian Grand Prix,rainy,70.009619,1
20-02,68.1055,dry,66.207,dry,,,4,rainy,1.0,0.9069767441860465,Styrian Grand Prix,rainy,70.202845,2
20-02,66.986,dry,,dry,,,2,rainy,0.0,0.0,Styrian Grand Prix,rainy,70.484239,3
20-02,68.468666,dry,66.191,dry,,,7,rainy,0.0,0.20930232558139536,Styrian Grand Prix,rainy,70.634971,4
20-02,69.843,dry,66.543666,dry,,,6,rainy,0.64,0.6046511627906976,Styrian Grand Prix,rainy,70.875394,5
20-02,67.9456,dry,65.512,dry,,,17,rainy,0.32,0.18604651162790697,Styrian Grand Prix,rainy,70.888309,6
20-02,67.164,dry,,dry,,,13,rainy,0.0,0.23255813953488372,Styrian Grand Prix,rainy,70.889239,7
