race_id,fp1_long_run,fp1_weather,fp2_long_run,fp2_weather,fp3_long_run,fp3_weather,qualifying,qualifying_weather,driver_perf,team_perf,track_type,race_weather,race_pace,finishing_position
23-01,95.429,dry,92.9015,dry,,dry,1,dry,0.0,0.0,Bahrain Grand Prix,dry,98.890105,1
23-01,94.706,dry,92.695,dry,94.5725,dry,2,dry,0.0,1.0,Bahrain Grand Prix,dry,99.100403,2
23-01,95.3915,dry,92.754333,dry,,dry,5,dry,0.0,0.0,Bahrain Grand Prix,dry,99.567947,3
23-01,100.027,dry,,dry,96.337,dry,4,dry,0.0,0.0,Bahrain Grand Prix,dry,99.733122,4
23-01,,dry,,dry,96.461,dry,7,dry,0.0,0.0,Bahrain Grand Prix,dry,99.784438,5
23-01,96.8465,dry,93.707333,dry,,dry,8,dry,0.0,0.5348837209302325,Bahrain Grand Prix,dry,99.84628,6
23-01,97.50025,dry,,dry,95.3175,dry,6,dry,0.0,0.37209302325581395,Bahrain Grand Prix,dry,99.870333,7
23-01,98.042,dry,93.981,dry,,dry,12,dry,0.0,0.0,Bahrain Grand Prix,dry,100.164614,8
23-01,,dry,,dry,,dry,20,dry,0.0,0.0,Bahrain Grand Prix,dry,100.184017,9
23-01,97.744,dry,,dry,,dry,15,dry,0.0,0.0,Bahrain Grand Prix,dry,100.465087,10
23-01,97.212,dry,,dry,,dry,14,dry,0.0,0.0,Bahrain Grand Prix,dry,100.484315,11
23-01,99.347,dry,,dry,97.414,dry,16,dry,0.0,0.023255813953488372,Bahrain Grand Prix,dry,100.67628500000001,12
23-01,98.0175,dry,94.662,dry,95.906333,dry,17,dry,0.0,0.0,Bahrain Grand Prix,dry,100.955232,13
23-01,98.118333,dry,94.555,dry,,dry,19,dry,0.0,0.0,Bahrain Grand Prix,dry,101.058196,14
23-01,98.441909,dry,94.1065,dry,96.2345,dry,10,dry,0.0,0.0,Bahrain Grand Prix,dry,101.082982,15
23-01,96.889,dry,94.114666,dry,,dry,13,dry,0.0,0.09302325581395349,Bahrain Grand Prix,dry,101.364017,16
23-01,96.975,dry,93.23,dry,95.986,dry,11,dry,0.0,0.0,Bahrain Grand Prix,dry,102.606763,17
23-01,97.522,dry,,dry,96.3455,dry,9,dry,0.0,0.046511627906976744,Bahrain Grand Prix,dry,102.916243,18
23-01,96.673333,dry,,dry,,dry,3,dry,0.0,0.27906976744186046,Bahrain Grand Prix,dry,99.644051,19
23-01,97.337,dry,94.5475,dry,94.668,dry,18,dry,0.0,0.0,Bahrain Grand Prix,dry,103.275769,20
23-02,92.969,dry,,dry,91.63,dry,1,dry,0.72,1.0,Saudi Arabian Grand Prix,dry,94.24502,1
23-02,91.564,dry,,dry,90.724,dry,15,dry,1.0,1.0077519379844961,Saudi Arabian Grand Prix,dry,94.926645,2
23-02,92.838,dry,91.392,dry,92.6285,dry,3,dry,0.6,0.5348837209302325,Saudi Arabian Grand Prix,dry,94.835875,3
23-02,93.3075,dry,92.568,dry,,dry,4,dry,0.24,0.37209302325581395,Saudi Arabian Grand Prix,dry,95.160354,4
23-02,92.578,dry,,dry,91.689,dry,8,dry,0.4,0.4186046511627907,Saudi Arabian Grand Prix,dry,95.643625,5
23-02,94.10925,dry,94.476,dry,,dry,5,dry,0.48,0.27906976744186046,Saudi Arabian Grand Prix,dry,97.046387,6
23-02,94.410777,dry,,dry,91.359,dry,2,dry,0.0,0.29457364341085274,Saudi Arabian Grand Prix,dry,97.243,7
23-02,94.021833,dry,92.367,dry,,dry,7,dry,0.0,0.046511627906976744,Saudi Arabian Grand Prix,dry,97.465346,8
23-02,93.494444,dry,,dry,,dry,10,dry,0.08,0.07751937984496124,Saudi Arabian Grand Prix,dry,97.530795,9
23-02,94.050333,dry,92.964,dry,91.742,dry,13,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,98.7944,10
23-02,93.9732,dry,92.4895,dry,,dry,16,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,97.754836,11
23-02,94.466333,dry,92.195,dry,91.88,dry,11,dry,0.0,0.007751937984496124,Saudi Arabian Grand Prix,dry,98.90964,12
23-02,94.695333,dry,92.894,dry,91.726,dry,12,dry,0.0,0.09302325581395349,Saudi Arabian Grand Prix,dry,99.01908,13
23-02,94.1074,dry,93.089,dry,,dry,18,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,99.04744,14
23-02,93.990285,dry,93.866666,dry,92.794,dry,9,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,99.1983,15
23-02,94.074,dry,93.5035,dry,,dry,20,dry,0.0,0.023255813953488372,Saudi Arabian Grand Prix,dry,99.22374,16
23-02,95.5375,dry,92.928,dry,,dry,19,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,99.22678,17
23-02,94.877166,dry,93.83,dry,92.117,dry,14,dry,0.16,0.06201550387596899,Saudi Arabian Grand Prix,dry,99.027666,18
23-02,93.474,dry,92.67,dry,91.9,dry,17,dry,0.04,0.015503875968992248,Saudi Arabian Grand Prix,dry,100.94432,19
23-02,94.131,dry,92.508,dry,91.9516,dry,6,dry,0.32,0.4728682170542636,Saudi Arabian Grand Prix,dry,97.324,20
23-03,81.272,dry,,rainy,79.664,rainy,1,rainy,0.88,1.0116279069767442,Australian Grand Prix,dry,85.469384,1
23-03,82.063,dry,,rainy,80.98575,rainy,3,rainy,0.4,0.4418604651162791,Australian Grand Prix,dry,87.488886,2
23-03,82.3025,dry,80.427,rainy,,rainy,4,rainy,0.6,0.4418604651162791,Australian Grand Prix,dry,85.77373,3
23-03,83.282666,dry,82.623,rainy,,rainy,6,rainy,0.16,0.4790697674418605,Australian Grand Prix,dry,86.121269,4
23-03,83.124,dry,,rainy,80.252,rainy,20,rainy,0.86,0.9767441860465116,Australian Grand Prix,dry,86.380346,5
23-03,81.246,dry,82.031,rainy,81.7775,rainy,13,rainy,0.0,0.0,Australian Grand Prix,dry,86.561673,6
23-03,82.6195,dry,,rainy,80.705,rainy,10,rainy,0.0,0.011627906976744186,Australian Grand Prix,dry,86.529365,7
23-03,82.024,dry,,rainy,81.05,rainy,16,rainy,0.0,0.05581395348837209,Australian Grand Prix,dry,87.279307,8
