race_id,fp1_weather,fp2_weather,fp3_weather,qualifying_weather,race_weather,track_environment,setup_demand,track_length,driver_perf,team_perf,fp1_long_run,fp2_long_run,fp3_long_run,race_pace,relative_qualifying,relative_finish
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,-0.13428569970211002,-0.009098280377771292,-0.08110743886218459,-0.10507018308316841,0.15,0.05
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,-0.017788474411021448,0.16855204306939173,0.8201264296321945,0.12697810347816638,0.95,1.0
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,0.07099462931438114,0.20639876165936452,0.12179066935514532,0.0365440245578046,0.85,0.95
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,-0.027132943971187765,0.14636743846899586,0.7327551550375405,-0.07254907404488241,1.0,0.9
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,0.1105010883204581,-0.02406150342202701,0.8745884100958448,-0.1773251975593353,0.3,0.85
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,-0.04390616040264745,-0.03522536896287254,0.9079121789640145,-0.18092468306883902,0.35,0.8
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,-0.018820836082248056,0.11988903942981274,0.03673290984840558,-0.02463310576238664,0.7,0.7
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,0.21902465006430627,0.18601997953627405,0.9185227322354715,-0.027231502614658353,0.9,0.65
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,0.07400299508175505,0.12158053420872805,0.08272750301153779,-0.043137483795475745,0.75,0.6
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,0.09197630534875474,0.11231339814664167,0.08704885806870759,-0.05696798930785469,0.65,0.55
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,0.17308136282361897,0.11385170421891354,0.830930376816014,0.015283807191795963,0.8,0.75
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,0.18275827077312862,0.00028317628734009903,0.06856587833459134,0.7209426250283014,-0.06919057922112437,0.6,0.45
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,1.055236081681791,-0.19575911220725653,-0.008664563767793258,0.7399670154642343,-0.06978852693150361,0.5,0.4
18-01,0,0,1,0,1,1,1,0.12888122139472308,-0.7965717832471391,-0.8642151023172658,-0.003165124552630727,0.09380098533961084,1.0219756266321778,-0.07150233779485007,0.4,0.35
