race_id,fp1_weather,fp2_weather,fp3_weather,qualifying_weather,race_weather,track_environment,setup_demand,track_length,driver_perf,team_perf,fp1_long_run,fp2_long_run,fp3_long_run,race_pace,relative_qualifying,relative_finish
18-03,1,1,0,0,1,2,1,5.451,0.0,0.0,99.870666,100.5105,98.551333,103.42625,0.9,0.7
18-03,1,1,0,0,1,2,1,5.451,0.12,0.2325581395348837,99.07175,99.07175,99.07175,103.317017,0.7,0.65
18-03,1,1,0,0,1,2,1,5.451,0.0,0.0093023255813953,98.8276,98.6965,98.76205,103.234017,0.4,0.6
18-03,1,1,0,0,1,2,1,5.451,0.02,0.0116279069767441,99.307,98.704,95.971,103.221964,0.6,0.55
18-03,1,1,0,0,1,2,1,5.451,0.0,0.0,99.931,98.304833,96.678666,103.475375,0.8,0.75
18-03,1,1,0,0,1,2,1,5.451,0.02,0.1860465116279069,97.61075,96.645333,97.371666,102.203,0.45,0.45
18-03,1,1,0,0,1,2,1,5.451,0.44,0.6395348837209303,96.513,96.513,96.513,100.447092,0.15,0.1
18-03,1,1,0,0,1,2,1,5.451,0.3,0.7558139534883721,97.325333,97.325333,97.325333,101.617,0.1,0.15
18-03,1,1,0,0,1,2,1,5.451,0.66,0.6511627906976745,97.3995666,96.8865166,95.8143666,100.73324,0.2,0.2
18-03,1,1,0,0,1,2,1,5.451,0.16,0.3488372093023256,97.2525,96.59025,95.928,100.549407,0.25,0.25
18-03,1,1,0,0,1,2,1,5.451,0.24,0.2325581395348837,97.07,98.337,97.7035,100.498296,0.3,0.05
18-03,1,1,0,0,1,2,1,5.451,0.28,0.1744186046511628,98.212333,96.3535,96.401,101.929618,0.35,0.3
18-03,1,1,0,0,1,2,1,5.451,0.32,0.2558139534883721,98.742,98.742,98.742,102.982482,0.65,0.35
18-03,1,1,0,0,1,2,1,5.451,1.0,0.6930232558139535,97.165,95.262,94.835,100.964703,0.05,0.4
18-03,1,1,0,0,1,2,1,5.451,0.2,0.1162790697674418,98.454,97.012,97.733,103.142392,0.55,0.5
18-04,1,0,1,1,0,0,2,6.003,0.16,0.1162790697674418,110.424,108.214,109.319,113.91669,0.9444444444444444,0.6666666666666666
18-04,1,0,1,1,0,0,2,6.003,0.2933333333333333,0.213953488372093,107.3374,107.3374,107.3374,119.446333,0.5,1.0
18-04,1,0,1,1,0,0,2,6.003,0.4933333333333333,0.3255813953488372,107.442666,106.271142,108.1292,109.7274,0.2222222222222222,0.9444444444444444
18-04,1,0,1,1,0,0,2,6.003,0.24,0.4186046511627907,108.012,105.9905,105.979,109.746742,0.2777777777777778,0.8888888888888888
18-04,1,0,1,1,0,0,2,6.003,0.0,0.1023255813953488,109.1964,107.352,108.2742,111.810135,1.1111111111111112,0.8333333333333334
18-04,1,0,1,1,0,0,2,6.003,0.5333333333333333,0.7023255813953488,107.073666,107.268,107.170833,108.561378,0.16666666666666666,0.7777777777777778
18-04,1,0,1,1,0,0,2,6.003,0.1466666666666666,0.1023255813953488,109.256,106.8845,108.07025,115.567116,0.8333333333333334,0.7222222222222222
18-04,1,0,1,1,0,0,2,6.003,0.0266666666666666,0.055813953488372,109.673333,108.632,109.1526665,118.32676,1.0,0.6111111111111112
18-04,1,0,1,1,0,0,2,6.003,0.08,0.1860465116279069,109.6455,108.724555,109.1850275,114.66486,0.8888888888888888,0.5
18-04,1,0,1,1,0,0,2,6.003,0.6,0.6883720930232559,107.563,106.638333,107.1006665,109.16035,0.1111111111111111,0.05555555555555555
18-04,1,0,1,1,0,0,2,6.003,0.4,0.5953488372093023,110.082,106.3314,106.269,111.075146,0.3333333333333333,0.1111111111111111
18-04,1,0,1,1,0,0,2,6.003,0.0,0.0093023255813953,108.7455,107.4781,105.666,111.08578,0.4444444444444444,0.16666666666666666
18-04,1,0,1,1,0,0,2,6.003,0.72,0.5488372093023256,110.012,107.003625,104.758,108.9749,0.05555555555555555,0.2222222222222222
18-04,1,0,1,1,0,0,2,6.003,0.0,0.1116279069767441,109.001857,108.488,108.7449285,114.054404,1.0555555555555556,0.5555555555555556
18-04,1,0,1,1,0,0,2,6.003,0.0,0.0186046511627906,109.844,107.798583,107.096,111.901341,0.7777777777777778,0.3333333333333333
