race_id,fp1_long_run,fp1_weather,fp2_long_run,fp2_weather,fp3_long_run,fp3_weather,qualifying,qualifying_weather,driver_perf,team_perf,track_type,race_weather,race_pace,finishing_position
21-01,93.493,dry,,dry,93.573,dry,2,dry,0.0,0.0,Bahrain Grand Prix,dry,97.5862,1
21-01,93.088,dry,,dry,92.426,dry,1,dry,0.0,0.0,Bahrain Grand Prix,dry,97.57529,2
21-01,93.349,dry,,dry,93.372,dry,3,dry,0.0,0.9534883720930233,Bahrain Grand Prix,dry,98.310563,3
21-01,93.8545,dry,93.4435,dry,,dry,7,dry,0.0,0.0,Bahrain Grand Prix,dry,98.514472,4
21-01,,dry,,dry,93.764,dry,11,dry,0.0,0.6511627906976745,Bahrain Grand Prix,dry,99.570428,5
21-01,,dry,95.181,dry,94.5355,dry,4,dry,0.0,0.0,Bahrain Grand Prix,dry,98.687254,6
21-01,94.485666,dry,93.097333,dry,94.242,dry,6,dry,0.0,0.4186046511627907,Bahrain Grand Prix,dry,98.88829,7
21-01,,dry,92.711,dry,94.2305,dry,8,dry,0.0,0.27906976744186046,Bahrain Grand Prix,dry,99.839232,8
21-01,96.931,dry,,dry,95.348,dry,13,dry,0.0,0.0,Bahrain Grand Prix,dry,100.171232,9
21-01,,dry,93.056,dry,94.784333,dry,10,dry,0.0,0.0,Bahrain Grand Prix,dry,100.189464,10
21-01,94.971,dry,,dry,,dry,14,dry,0.0,0.0,Bahrain Grand Prix,dry,100.227875,11
21-01,94.928333,dry,,dry,,dry,12,dry,0.0,0.0,Bahrain Grand Prix,dry,100.532636,12
21-01,96.8088,dry,94.049,dry,94.83,dry,16,dry,0.0,0.0,Bahrain Grand Prix,dry,100.727181,13
21-01,96.1195,dry,,dry,94.968,dry,15,dry,0.0,0.0,Bahrain Grand Prix,dry,100.760981,14
21-01,,dry,,dry,95.3795,dry,18,dry,0.0,0.023255813953488372,Bahrain Grand Prix,dry,100.953436,15
21-01,96.39675,dry,95.240333,dry,95.221,dry,19,dry,0.0,0.0,Bahrain Grand Prix,dry,101.830981,16
21-01,95.975,dry,,dry,,dry,5,dry,0.0,0.046511627906976744,Bahrain Grand Prix,dry,100.18149,17
21-01,96.6305,dry,,dry,,dry,17,dry,0.0,0.0,Bahrain Grand Prix,dry,102.558607,18
21-01,96.87825,dry,,dry,95.037666,dry,9,dry,0.0,0.0,Bahrain Grand Prix,dry,102.290451,19
21-01,96.706,dry,96.485,dry,95.31,dry,20,dry,0.0,0.0,Bahrain Grand Prix,dry,,20
21-02,79.422,rainy,79.106,dry,,dry,3,dry,0.72,0.6511627906976745,Emilia Romagna Grand Prix,rainy,90.029967,1
21-02,78.257,rainy,79.096,dry,77.95,dry,1,dry,1.0,0.9534883720930233,Emilia Romagna Grand Prix,rainy,89.361186,2
21-02,80.366,rainy,80.254,dry,77.1025,dry,7,dry,0.48,0.4186046511627907,Emilia Romagna Grand Prix,rainy,91.265693,3
