race_id,fp1_long_run,fp1_weather,fp2_long_run,fp2_weather,fp3_long_run,fp3_weather,qualifying,qualifying_weather,driver_perf,team_perf,track_type,race_weather,race_pace,finishing_position
19-01,86.454,dry,,dry,,dry,2,dry,0.0,0.0,Australian Grand Prix,dry,88.402155,1
19-01,85.705,dry,,dry,,dry,1,dry,0.0,1.0232558139534884,Australian Grand Prix,dry,88.762258,2
19-01,86.67325,dry,86.544111,dry,85.112,dry,4,dry,0.0,0.0,Australian Grand Prix,dry,88.790431,3
19-01,86.7275,dry,86.6295,dry,84.109,dry,3,dry,0.0,0.0,Australian Grand Prix,dry,89.386793,4
19-01,86.68275,dry,85.926333,dry,84.564,dry,5,dry,0.0,0.5116279069767442,Australian Grand Prix,dry,89.40612,5
19-01,87.036,dry,,dry,84.9065,dry,7,dry,0.0,0.0,Australian Grand Prix,dry,89.904844,6
19-01,,dry,85.803,dry,,dry,11,dry,0.0,0.0,Australian Grand Prix,dry,90.04428,7
19-01,87.252666,dry,85.420333,dry,,dry,9,dry,0.0,0.0,Australian Grand Prix,dry,90.06507,8
19-01,87.309,dry,85.8425,dry,,dry,16,dry,0.0,0.0,Australian Grand Prix,dry,90.078263,9
19-01,87.979666,dry,87.822333,dry,85.007,dry,15,dry,0.0,0.0,Australian Grand Prix,dry,90.090526,10
19-01,88.612,dry,85.37,dry,85.87025,dry,17,dry,0.0,0.3488372093023256,Australian Grand Prix,dry,90.096403,11
19-01,87.9215,dry,,dry,,dry,8,dry,0.0,0.0,Australian Grand Prix,dry,90.794017,12
19-01,89.014,dry,88.367,dry,85.8315,dry,10,dry,0.0,0.046511627906976744,Australian Grand Prix,dry,90.803315,13
19-01,87.07725,dry,87.618,dry,,dry,13,dry,0.0,0.023255813953488372,Australian Grand Prix,dry,90.815736,14
19-01,87.51225,dry,86.485,dry,85.506,dry,14,dry,0.0,0.09302325581395349,Australian Grand Prix,dry,91.190561,15
19-01,90.877,dry,89.206666,dry,89.122,dry,19,dry,0.0,0.0,Australian Grand Prix,dry,92.446517,16
19-01,89.947,dry,88.929666,dry,88.894,dry,20,dry,0.0,0.0,Australian Grand Prix,dry,94.167472,17
19-01,88.843,dry,85.6545,dry,85.031,dry,6,dry,0.0,0.18604651162790697,Australian Grand Prix,dry,91.720758,18
19-01,87.216,dry,85.622333,dry,85.216,dry,12,dry,0.0,0.13953488372093023,Australian Grand Prix,dry,92.832928,19
19-01,88.132166,dry,86.17475,dry,86.864,dry,18,dry,0.0,0.0,Australian Grand Prix,dry,92.770333,20
19-02,93.335,dry,,dry,,dry,3,rainy,0.72,1.0232558139534884,Bahrain Grand Prix,dry,98.376446,1
19-02,94.414,dry,92.01,dry,,dry,4,rainy,1.04,1.0155038759689923,Bahrain Grand Prix,dry,99.373245,2
19-02,92.216,dry,90.851,dry,91.6605,dry,1,rainy,0.4,0.5116279069767442,Bahrain Grand Prix,dry,99.428526,3
19-02,,dry,,dry,,dry,5,rainy,0.6,0.3488372093023256,Bahrain Grand Prix,dry,99.433385,4
19-02,92.905,dry,90.6295,dry,91.7555,dry,2,rainy,0.48,0.5426356589147286,Bahrain Grand Prix,dry,99.953736,5
19-02,95.246666,dry,,dry,92.6535,dry,10,rainy,0.0,0.0,Bahrain Grand Prix,dry,100.123666,6
19-02,94.4675,dry,,dry,94.399,dry,9,rainy,0.16,0.09302325581395349,Bahrain Grand Prix,dry,100.153771,7
19-02,95.159666,dry,,dry,,dry,13,rainy,0.0,0.35658914728682173,Bahrain Grand Prix,dry,100.340157,8
19-02,94.743,dry,,dry,,dry,12,rainy,0.0,0.023255813953488372,Bahrain Grand Prix,dry,100.420912,9
19-02,95.316,dry,92.33,dry,,dry,14,rainy,0.0,0.046511627906976744,Bahrain Grand Prix,dry,100.438438,10
19-02,95.167,dry,,dry,95.2975,dry,16,rainy,0.0,0.10852713178294573,Bahrain Grand Prix,dry,100.45428,11
19-02,94.248,dry,91.666,dry,,dry,15,rainy,0.04,0.031007751937984496,Bahrain Grand Prix,dry,101.123232,12
19-02,95.53825,dry,,dry,,dry,6,rainy,0.32,0.18604651162790697,Bahrain Grand Prix,dry,101.140035,13
19-02,96.411,dry,,dry,93.6285,dry,18,rainy,0.08,0.03875968992248062,Bahrain Grand Prix,dry,101.455428,14
19-02,97.37375,dry,93.757,dry,96.48,dry,19,rainy,0.0,0.0,Bahrain Grand Prix,dry,102.160982,15
19-02,97.21,dry,96.1595,dry,95.928666,dry,20,rainy,0.0,0.0,Bahrain Grand Prix,dry,102.9466,16
19-02,93.84,dry,91.555,dry,,dry,17,rainy,0.24,0.13953488372093023,Bahrain Grand Prix,dry,98.564264,17
19-02,94.155,dry,93.191,dry,,dry,11,rainy,0.0,0.09302325581395349,Bahrain Grand Prix,dry,98.801547,18
19-02,95.162,dry,,dry,,dry,7,rainy,0.0,0.06201550387596899,Bahrain Grand Prix,dry,100.304528,19
19-02,95.6006,dry,92.540333,dry,,dry,8,rainy,0.0,0.12403100775193798,Bahrain Grand Prix,dry,103.047625,20
19-03,,dry,97.883,dry,,dry,2.0,dry,0.86,1.0116279069767442,Chinese Grand Prix,dry,98.684821,1
19-03,,dry,95.41,dry,,dry,1.0,dry,0.88,1.0093023255813953,Chinese Grand Prix,dry,98.801821,2
19-03,95.988,dry,95.287,dry,,dry,3.0,dry,0.44,0.5581395348837209,Chinese Grand Prix,dry,98.93025,3
19-03,96.303,dry,,dry,,dry,5.0,dry,0.54,0.36046511627906974,Chinese Grand Prix,dry,99.17816,4
19-03,96.293666,dry,,dry,94.761,dry,4.0,dry,0.52,0.5627906976744186,Chinese Grand Prix,dry,99.243321,5
19-03,97.226,dry,,dry,,dry,6.0,dry,0.08,0.386046511627907,Chinese Grand Prix,dry,100.279589,6
19-03,96.9835,dry,96.0425,dry,,dry,7.0,dry,0.0,0.06976744186046512,Chinese Grand Prix,dry,100.716272,7
19-03,97.498,dry,96.443,dry,,dry,12.0,dry,0.02,0.03488372093023256,Chinese Grand Prix,dry,100.752418,8
19-03,98.225333,dry,97.5475,dry,96.0065,dry,13.0,dry,0.2,0.11627906976744186,Chinese Grand Prix,dry,100.87389,9
19-03,97.792,dry,97.8714,dry,,dry,,dry,0.04,0.03488372093023256,Chinese Grand Prix,dry,101.102818,10
19-03,97.3385,dry,99.30325,dry,98.7624,dry,10.0,dry,0.0,0.09302325581395349,Chinese Grand Prix,dry,101.121363,11
19-03,98.836,dry,96.441,dry,,dry,16.0,dry,0.04,0.046511627906976744,Chinese Grand Prix,dry,101.241727,12
19-03,,dry,97.3985,dry,98.320666,dry,9.0,dry,0.16,0.07441860465116279,Chinese Grand Prix,dry,101.257727,13
19-03,97.619,dry,95.794,dry,96.216,dry,14.0,dry,0.0,0.09302325581395349,Chinese Grand Prix,dry,101.438163,14
19-03,,dry,98.0666,dry,,dry,,dry,0.0,0.10232558139534884,Chinese Grand Prix,dry,101.493272,15
19-03,100.8215,dry,98.0765,dry,,dry,17.0,dry,0.0,0.0,Chinese Grand Prix,dry,102.793611,16
19-03,98.984,dry,98.552333,dry,97.853,dry,18.0,dry,0.0,0.0,Chinese Grand Prix,dry,103.091092,17
19-03,97.957,dry,96.529,dry,,dry,15.0,dry,0.16,0.07441860465116279,Chinese Grand Prix,dry,103.0186,18
19-03,98.737333,dry,98.480333,dry,,dry,11.0,dry,0.02,0.03255813953488372,Chinese Grand Prix,dry,103.006707,19
19-03,97.523,dry,95.9625,dry,,dry,8.0,dry,0.12,0.08372093023255814,Chinese Grand Prix,dry,104.37075,20
19-04,,dry,107.242833,dry,105.151666,dry,1,dry,0.8266666666666667,1.0046511627906978,Azerbaijan Grand Prix,dry,108.096901,1
19-04,,dry,106.4888,dry,106.959,dry,2,dry,0.9066666666666666,1.0,Azerbaijan Grand Prix,dry,108.126784,2
19-04,111.988,dry,105.847,dry,104.0225,dry,3,dry,0.49333333333333335,0.5767441860465117,Azerbaijan Grand Prix,dry,108.327078,3
19-04,,dry,107.4002,dry,104.698,dry,4,dry,0.52,0.413953488372093,Azerbaijan Grand Prix,dry,108.439901,4
19-04,109.134,dry,105.446,dry,104.352,dry,9,dry,0.48,0.5953488372093023,Azerbaijan Grand Prix,dry,109.451941,5
19-04,,dry,108.364857,dry,105.2825,dry,5,dry,0.06666666666666667,0.05581395348837209,Azerbaijan Grand Prix,dry,109.595254,6
