race_id,fp1_long_run,fp1_weather,fp2_long_run,fp2_weather,fp3_long_run,fp3_weather,qualifying,qualifying_weather,driver_perf,team_perf,track_type,race_weather,race_pace,finishing_position
24-01,,dry,,dry,93.1305,dry,1,dry,0.0,0.0,Bahrain Grand Prix,dry,96.574421,1
24-01,95.093,dry,,dry,93.368,dry,5,dry,0.0,1.0232558139534884,Bahrain Grand Prix,dry,96.968403,2
24-01,96.444666,dry,,dry,92.91875,dry,4,dry,0.0,0.0,Bahrain Grand Prix,dry,97.014947,3
24-01,96.776,dry,,dry,92.685,dry,2,dry,0.0,0.627906976744186,Bahrain Grand Prix,dry,97.270368,4
24-01,,dry,,dry,92.831,dry,3,dry,0.0,0.0,Bahrain Grand Prix,dry,97.395263,5
24-01,95.582,dry,,dry,92.761,dry,7,dry,0.0,0.0,Bahrain Grand Prix,dry,97.424561,6
24-01,,dry,,dry,,dry,9,dry,0.0,0.37209302325581395,Bahrain Grand Prix,dry,97.457298,7
24-01,95.606,dry,93.1445,dry,93.2975,dry,8,dry,0.0,0.27906976744186046,Bahrain Grand Prix,dry,97.558315,8
24-01,,dry,,dry,93.207,dry,6,dry,0.0,0.0,Bahrain Grand Prix,dry,97.888228,9
24-01,95.871,dry,92.479,dry,93.173,dry,12,dry,0.0,0.06976744186046512,Bahrain Grand Prix,dry,98.209789,10
24-01,96.672,dry,94.178,dry,93.517,dry,17,dry,0.0,0.0,Bahrain Grand Prix,dry,98.41966,11
24-01,99.51225,dry,,dry,93.178,dry,15,dry,0.0,0.0,Bahrain Grand Prix,dry,98.447464,12
24-01,95.1055,dry,93.193,dry,,dry,14,dry,0.0,0.0,Bahrain Grand Prix,dry,98.458928,13
24-01,95.088,dry,93.866,dry,,dry,11,dry,0.0,0.0,Bahrain Grand Prix,dry,98.468285,14
24-01,95.267,dry,,dry,95.477,dry,13,dry,0.0,0.0,Bahrain Grand Prix,dry,98.511214,15
24-01,101.231,dry,,dry,93.0265,dry,10,dry,0.0,0.0,Bahrain Grand Prix,dry,98.613821,16
24-01,,dry,,dry,,dry,19,dry,0.0,0.0,Bahrain Grand Prix,dry,98.860571,17
24-01,,dry,,dry,,dry,20,dry,0.0,0.0,Bahrain Grand Prix,dry,98.877839,18
24-01,95.317666,dry,,dry,,dry,16,dry,0.0,0.0,Bahrain Grand Prix,dry,98.503745,19
24-01,96.6568,dry,,dry,,dry,18,dry,0.0,0.0,Bahrain Grand Prix,dry,99.327351,20
24-02,91.8815,dry,,dry,,dry,1,dry,1.04,1.0232558139534884,Saudi Arabian Grand Prix,dry,93.608229,1
24-02,91.755,dry,,dry,,dry,3,dry,0.72,1.0155038759689923,Saudi Arabian Grand Prix,dry,93.867729,2
24-02,92.9895,dry,91.159,dry,92.4455,dry,2,dry,0.48,0.627906976744186,Saudi Arabian Grand Prix,dry,94.101208,3
24-02,93.89975,dry,92.837333,dry,93.081,dry,5,dry,0.16,0.27906976744186046,Saudi Arabian Grand Prix,dry,94.468937,4
24-02,93.11125,dry,90.735,dry,92.504,dry,4,dry,0.08,0.06976744186046512,Saudi Arabian Grand Prix,dry,94.55775,5
24-02,92.9055,dry,90.568,dry,92.622,dry,7,dry,0.4,0.37209302325581395,Saudi Arabian Grand Prix,dry,94.753187,6
24-02,,dry,,dry,92.631666,dry,11,dry,0.0,0.5891472868217055,Saudi Arabian Grand Prix,dry,96.048244,7
24-02,92.97125,dry,91.515,dry,,dry,6,dry,0.32,0.31007751937984496,Saudi Arabian Grand Prix,dry,94.85802,8
24-02,92.59,dry,91.411,dry,92.415714,dry,8,dry,0.24,0.32558139534883723,Saudi Arabian Grand Prix,dry,94.955041,9
24-02,94.397,dry,92.3415,dry,,dry,15,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,95.764625,10
24-02,93.90075,dry,92.5435,dry,,dry,12,dry,0.0,0.0,Saudi Arabian Grand Prix,dry,96.972326,11
24-02,94.4778,dry,92.671,dry,91.447,dry,13,dry,0.0,0.007751937984496124,Saudi Arabian Grand Prix,dry,96.91802,12
