race_id,fp1_long_run,fp1_weather,fp2_long_run,fp2_weather,fp3_long_run,fp3_weather,qualifying,qualifying_weather,driver_perf,team_perf,track_type,race_weather,race_pace,finishing_position
25-01,78.765,dry,,dry,78.471,dry,1,dry,0.0,0.0,Australian Grand Prix,rainy,103.428301,1
25-01,79.771,dry,,dry,77.632,dry,3,dry,0.0,0.0,Australian Grand Prix,rainy,103.34115,2
25-01,80.286,dry,,dry,,dry,4,dry,0.0,0.0,Australian Grand Prix,rainy,103.686339,3
25-01,80.826,dry,80.381,dry,77.97,dry,16,dry,0.0,0.627906976744186,Australian Grand Prix,rainy,104.57937,4
25-01,81.0415,dry,79.239,dry,78.294,dry,6,dry,0.0,0.0,Australian Grand Prix,rainy,104.672388,5
25-01,79.976,dry,78.858,dry,78.6955,dry,13,dry,0.0,0.0,Australian Grand Prix,rainy,104.730129,6
25-01,80.8,dry,78.846,dry,,dry,17,dry,0.0,0.0,Australian Grand Prix,rainy,104.740166,7
25-01,80.012,dry,78.434,dry,77.847,dry,7,dry,0.0,0.0,Australian Grand Prix,rainy,103.933528,8
25-01,80.142,dry,78.206,dry,,dry,2,dry,0.0,0.627906976744186,Australian Grand Prix,rainy,102.084461,9
25-01,80.484,dry,78.546,dry,,dry,8,dry,0.0,0.11627906976744186,Australian Grand Prix,rainy,103.967188,10
25-01,81.074,dry,79.567,dry,78.361,dry,9,dry,0.0,0.0,Australian Grand Prix,rainy,104.889166,11
25-01,80.8956,dry,,dry,78.947,dry,5,dry,0.0,0.0,Australian Grand Prix,rainy,104.085698,12
25-01,,dry,79.576,dry,80.063,dry,19,dry,0.0,0.0,Australian Grand Prix,rainy,103.848698,13
25-01,81.6695,dry,,dry,,dry,20,dry,0.0,0.0,Australian Grand Prix,rainy,103.870075,14
25-01,80.317,dry,79.172,dry,,dry,18,dry,0.0,0.4186046511627907,Australian Grand Prix,rainy,101.752523,15
25-01,81.31,dry,79.8965,dry,78.824,dry,15,dry,0.0,0.13953488372093023,Australian Grand Prix,rainy,102.655634,16
25-01,80.8855,dry,,dry,79.85,dry,12,dry,0.0,0.18604651162790697,Australian Grand Prix,rainy,98.517379,17
25-01,80.432,dry,80.227,dry,78.305,dry,10,dry,0.0,0.23255813953488372,Australian Grand Prix,rainy,,18
25-01,80.913666,dry,79.836,dry,79.221,dry,14,dry,0.0,0.0,Australian Grand Prix,rainy,,19
25-01,81.108,dry,78.554,dry,78.783,dry,11,dry,0.0,0.0,Australian Grand Prix,rainy,,20
25-02,95.194,dry,,unknown,,unknown,1,dry,0.08,0.627906976744186,Chinese Grand Prix,dry,97.411178,1
25-02,94.0985,dry,,unknown,,unknown,3,dry,1.0,0.751937984496124,Chinese Grand Prix,dry,97.58525,2
25-02,95.5332,dry,,unknown,,unknown,2,dry,0.6,0.627906976744186,Chinese Grand Prix,dry,97.609339,3
25-02,95.383,dry,,unknown,,unknown,4,dry,0.72,0.4186046511627907,Chinese Grand Prix,dry,97.708607,4
25-02,96.0225,dry,,unknown,,unknown,11,dry,0.0,0.0,Chinese Grand Prix,dry,98.303482,5
25-02,96.3565,dry,,unknown,,unknown,8,dry,0.48,0.5968992248062015,Chinese Grand Prix,dry,98.370964,6
25-02,95.624,dry,,unknown,,unknown,10,dry,0.4,0.23255813953488372,Chinese Grand Prix,dry,98.41691,7
25-02,95.9965,dry,,unknown,,unknown,17,dry,0.0,0.10852713178294573,Chinese Grand Prix,dry,98.505875,8
25-02,95.55,dry,,unknown,,unknown,14,dry,0.32,0.18604651162790697,Chinese Grand Prix,dry,98.664821,9
25-02,96.15,dry,,unknown,,unknown,15,dry,0.0,0.20930232558139536,Chinese Grand Prix,dry,98.775232,10
25-02,96.531,dry,,unknown,,unknown,7,dry,0.0,0.0,Chinese Grand Prix,dry,98.81966,11
25-02,96.3315,dry,,unknown,,unknown,20,dry,0.0,0.37209302325581395,Chinese Grand Prix,dry,98.860232,12
25-02,97.0834,dry,,unknown,,unknown,18,dry,0.0,0.0,Chinese Grand Prix,dry,98.811196,13
25-02,96.030333,dry,,unknown,,unknown,19,dry,0.0,0.13953488372093023,Chinese Grand Prix,dry,99.377854,14
25-02,94.65,dry,,unknown,,unknown,12,dry,0.24,0.09302325581395349,Chinese Grand Prix,dry,99.550036,15
25-02,95.7585,dry,,unknown,,unknown,9,dry,0.0,0.0,Chinese Grand Prix,dry,99.609763,16
25-02,95.7226,dry,,unknown,,unknown,13,dry,0.0,0.13953488372093023,Chinese Grand Prix,dry,111.3935,17
25-02,94.352666,dry,,unknown,,unknown,6,dry,0.16,0.11627906976744186,Chinese Grand Prix,dry,97.82566,18
25-02,94.979,dry,,unknown,,unknown,5,dry,0.04,0.07751937984496124,Chinese Grand Prix,dry,97.86441,19
25-02,96.37475,dry,,unknown,,unknown,16,dry,0.0,0.0,Chinese Grand Prix,dry,98.611089,20
25-03,90.738,dry,,dry,90.397,dry,1,dry,0.6,0.3488372093023256,Japanese Grand Prix,dry,92.961943,1
25-03,90.583,dry,,dry,91.1375,dry,2,dry,0.86,0.813953488372093,Japanese Grand Prix,dry,92.988792,2
25-03,93.008333,dry,90.441,dry,90.203666,dry,3,dry,0.54,0.8046511627906977,Japanese Grand Prix,dry,93.002113,3
25-03,91.367,dry,90.755,dry,,dry,4,dry,0.08,0.05813953488372093,Japanese Grand Prix,dry,93.26566,4
25-03,,dry,,dry,89.641,dry,5,dry,0.6,0.5813953488372093,Japanese Grand Prix,dry,93.289528,5
25-03,91.3395,dry,93.563,dry,92.536833,dry,6,dry,0.4,0.5488372093023256,Japanese Grand Prix,dry,93.314226,6
25-03,91.398,dry,,dry,,dry,8,dry,0.02,0.13023255813953488,Japanese Grand Prix,dry,93.512547,7
25-03,91.564,dry,90.308,dry,90.529,dry,7,dry,0.0,0.0,Japanese Grand Prix,dry,93.662584,8
25-03,93.351,dry,91.39,dry,91.248666,dry,9,dry,0.32,0.19767441860465115,Japanese Grand Prix,dry,93.723584,9
25-03,93.084,dry,91.293,dry,,dry,10,dry,0.08,0.16279069767441862,Japanese Grand Prix,dry,93.990792,10
25-03,91.318333,dry,,dry,92.487333,dry,13,dry,0.0,0.11627906976744186,Japanese Grand Prix,dry,94.043698,11
25-03,91.393,dry,,dry,91.63,dry,15,dry,0.0,0.3953488372093023,Japanese Grand Prix,dry,94.063849,12
25-03,91.451,dry,91.419,dry,90.3485,dry,11,dry,0.0,0.0,Japanese Grand Prix,dry,94.134056,13
25-03,92.113,dry,,dry,91.282777,dry,12,dry,0.02,0.16744186046511628,Japanese Grand Prix,dry,94.360603,14
25-03,,dry,,dry,92.688,dry,19,dry,0.0,0.0,Japanese Grand Prix,dry,94.496169,15
25-03,92.989333,dry,91.522,dry,93.562857,dry,16,dry,0.12,0.06976744186046512,Japanese Grand Prix,dry,94.508301,16
25-03,91.6035,dry,90.756,dry,91.516,dry,14,dry,0.0,0.018604651162790697,Japanese Grand Prix,dry,94.522962,17
25-03,92.253666,dry,92.002,dry,,dry,18,dry,0.2,0.13488372093023257,Japanese Grand Prix,dry,94.536245,18
25-03,93.627,dry,92.152,dry,,dry,17,dry,0.0,0.05581395348837209,Japanese Grand Prix,dry,94.544905,19
25-03,92.659,dry,93.148666,dry,,dry,20,dry,0.2,0.09302325581395349,Japanese Grand Prix,dry,94.998307,20
25-04,97.489,dry,92.975,dry,93.5685,dry,1,dry,0.56,0.8325581395348837,Bahrain Grand Prix,dry,99.524375,1
25-04,,dry,92.543,dry,94.887,dry,2,dry,0.5333333333333333,0.5069767441860465,Bahrain Grand Prix,dry,99.94875,2
25-04,95.5355,dry,92.876,dry,94.977,dry,6,dry,0.8133333333333334,0.8930232558139535,Bahrain Grand Prix,dry,99.984,3
25-04,,dry,93.051,dry,94.9645,dry,3,dry,0.21333333333333335,0.19069767441860466,Bahrain Grand Prix,dry,100.018642,4
25-04,96.525,dry,,dry,95.6945,dry,9,dry,0.09333333333333334,0.26976744186046514,Bahrain Grand Prix,dry,100.272035,5
25-04,,dry,,dry,,dry,7,dry,0.7333333333333333,0.42790697674418604,Bahrain Grand Prix,dry,101.295263,6
25-04,96.134333,dry,93.497,dry,94.802,dry,5,dry,0.0,0.0,Bahrain Grand Prix,dry,101.323456,7
25-04,96.9112,dry,93.776,dry,96.2595,dry,14,dry,0.13333333333333333,0.13953488372093023,Bahrain Grand Prix,dry,101.468052,8
25-04,97.125,dry,93.692,dry,,dry,10,dry,0.0,0.39069767441860465,Bahrain Grand Prix,dry,100.589035,9
25-04,,dry,94.465666,dry,97.516,dry,20,dry,0.06666666666666667,0.16279069767441862,Bahrain Grand Prix,dry,101.526824,10
25-04,,dry,,dry,95.0895,dry,4,dry,0.37333333333333335,0.46511627906976744,Bahrain Grand Prix,dry,100.647446,11
25-04,95.798,dry,93.45,dry,95.967,dry,15,dry,0.24,0.13023255813953488,Bahrain Grand Prix,dry,100.663357,12
25-04,97.742333,dry,93.141,dry,94.763,dry,12,dry,0.05333333333333334,0.037209302325581395,Bahrain Grand Prix,dry,101.679807,13
25-04,97.002,dry,93.8405,dry,95.5105,dry,11,dry,0.0,0.027906976744186046,Bahrain Grand Prix,dry,101.618263,14
25-04,,dry,,dry,96.874,dry,13,dry,0.0,0.05581395348837209,Bahrain Grand Prix,dry,100.858357,15
25-04,97.2285,dry,93.285,dry,94.904,dry,17,dry,0.0,0.037209302325581395,Bahrain Grand Prix,dry,100.656357,16
25-04,97.4814,dry,,dry,,dry,19,dry,0.13333333333333333,0.018604651162790697,Bahrain Grand Prix,dry,100.934,17
25-04,97.562,dry,93.621,dry,97.908,dry,18,dry,0.0,0.027906976744186046,Bahrain Grand Prix,dry,100.971571,18
25-04,,dry,93.706,dry,95.414,dry,8,dry,0.013333333333333334,0.08372093023255814,Bahrain Grand Prix,dry,102.382954,19
25-04,96.6725,dry,,dry,,dry,16,dry,0.08,0.0,Bahrain Grand Prix,dry,101.629947,20
25-05,91.548,dry,90.286,dry,89.118,dry,2,dry,0.67,0.8790697674418605,Saudi Arabian Grand Prix,dry,94.322645,1
25-05,91.764,dry,,dry,,dry,1,dry,0.63,0.3813953488372093,Saudi Arabian Grand Prix,dry,94.357229,2
25-05,90.81,dry,,dry,90.408,dry,4,dry,0.28,0.37209302325581395,Saudi Arabian Grand Prix,dry,94.547104,3
25-05,92.366,dry,90.03,dry,89.203,dry,10,dry,0.76,0.8511627906976744,Saudi Arabian Grand Prix,dry,94.714229,4
25-05,91.86,dry,,dry,,dry,3,dry,0.58,0.4418604651162791,Saudi Arabian Grand Prix,dry,94.932833,5
25-05,93.147,dry,91.252,dry,,dry,5,dry,0.28,0.4186046511627907,Saudi Arabian Grand Prix,dry,95.124645,6
25-05,92.5285,dry,91.353,dry,91.0595,dry,7,dry,0.17,0.4697674418604651,Saudi Arabian Grand Prix,dry,95.27227,7
25-05,92.542,dry,91.727,dry,,dry,6,dry,0.01,0.05116279069767442,Saudi Arabian Grand Prix,dry,95.821916,8
